makespan,w,c1,c2,
1618,0.1,0.1,0.1,
1615,0.1,0.1,0.5,
1582,0.1,0.1,0.9,
1634,0.1,0.1,1.3,
1594,0.1,0.1,1.6999999,
1581,0.1,0.5,0.1,
1558,0.1,0.5,0.5,
1581,0.1,0.5,0.9,
1601,0.1,0.5,1.3,
1624,0.1,0.5,1.6999999,
1603,0.1,0.9,0.1,
1557,0.1,0.9,0.5,
1599,0.1,0.9,0.9,
1638,0.1,0.9,1.3,
1600,0.1,0.9,1.6999999,
1581,0.1,1.3,0.1,
1563,0.1,1.3,0.5,
1541,0.1,1.3,0.9,
1630,0.1,1.3,1.3,
1619,0.1,1.3,1.6999999,
1625,0.1,1.6999999,0.1,
1595,0.1,1.6999999,0.5,
1582,0.1,1.6999999,0.9,
1560,0.1,1.6999999,1.3,
1594,0.1,1.6999999,1.6999999,
1580,0.3,0.1,0.1,
1621,0.3,0.1,0.5,
1593,0.3,0.1,0.9,
1619,0.3,0.1,1.3,
1605,0.3,0.1,1.6999999,
1599,0.3,0.5,0.1,
1639,0.3,0.5,0.5,
1584,0.3,0.5,0.9,
1608,0.3,0.5,1.3,
1610,0.3,0.5,1.6999999,
1598,0.3,0.9,0.1,
1609,0.3,0.9,0.5,
1572,0.3,0.9,0.9,
1596,0.3,0.9,1.3,
1596,0.3,0.9,1.6999999,
1628,0.3,1.3,0.1,
1645,0.3,1.3,0.5,
1600,0.3,1.3,0.9,
1615,0.3,1.3,1.3,
1624,0.3,1.3,1.6999999,
1607,0.3,1.6999999,0.1,
1606,0.3,1.6999999,0.5,
1531,0.3,1.6999999,0.9,
1614,0.3,1.6999999,1.3,
1631,0.3,1.6999999,1.6999999,
1637,0.5,0.1,0.1,
1604,0.5,0.1,0.5,
1609,0.5,0.1,0.9,
1624,0.5,0.1,1.3,
1604,0.5,0.1,1.6999999,
1628,0.5,0.5,0.1,
1550,0.5,0.5,0.5,
1624,0.5,0.5,0.9,
1571,0.5,0.5,1.3,
1637,0.5,0.5,1.6999999,
1611,0.5,0.9,0.1,
1560,0.5,0.9,0.5,
1595,0.5,0.9,0.9,
1638,0.5,0.9,1.3,
1579,0.5,0.9,1.6999999,
1594,0.5,1.3,0.1,
1601,0.5,1.3,0.5,
1595,0.5,1.3,0.9,
1603,0.5,1.3,1.3,
1625,0.5,1.3,1.6999999,
1592,0.5,1.6999999,0.1,
1605,0.5,1.6999999,0.5,
1596,0.5,1.6999999,0.9,
1612,0.5,1.6999999,1.3,
1602,0.5,1.6999999,1.6999999,
1597,0.7,0.1,0.1,
1573,0.7,0.1,0.5,
1598,0.7,0.1,0.9,
1573,0.7,0.1,1.3,
1607,0.7,0.1,1.6999999,
1593,0.7,0.5,0.1,
1564,0.7,0.5,0.5,
1625,0.7,0.5,0.9,
1563,0.7,0.5,1.3,
1617,0.7,0.5,1.6999999,
1576,0.7,0.9,0.1,
1578,0.7,0.9,0.5,
1610,0.7,0.9,0.9,
1606,0.7,0.9,1.3,
1572,0.7,0.9,1.6999999,
1589,0.7,1.3,0.1,
1654,0.7,1.3,0.5,
1596,0.7,1.3,0.9,
1605,0.7,1.3,1.3,
1553,0.7,1.3,1.6999999,
1614,0.7,1.6999999,0.1,
1496,0.7,1.6999999,0.5,
1575,0.7,1.6999999,0.9,
1592,0.7,1.6999999,1.3,
1590,0.7,1.6999999,1.6999999,
1581,0.9,0.1,0.1,
1631,0.9,0.1,0.5,
1574,0.9,0.1,0.9,
1627,0.9,0.1,1.3,
1630,0.9,0.1,1.6999999,
1605,0.9,0.5,0.1,
1647,0.9,0.5,0.5,
1574,0.9,0.5,0.9,
1619,0.9,0.5,1.3,
1642,0.9,0.5,1.6999999,
1642,0.9,0.5,1.6999999,
1620,0.9,0.9,0.1,
1630,0.9,0.9,0.5,
1585,0.9,0.9,0.9,
1586,0.9,0.9,1.3,
1585,0.9,0.9,0.9,
1586,0.9,0.9,1.3,
1576,0.9,0.9,1.6999999,
1602,0.9,1.3,0.1,
1586,0.9,0.9,1.3,
1576,0.9,0.9,1.6999999,
1602,0.9,1.3,0.1,
1576,0.9,0.9,1.6999999,
1602,0.9,1.3,0.1,
1561,0.9,1.3,0.5,
1602,0.9,1.3,0.1,
1561,0.9,1.3,0.5,
1561,0.9,1.3,0.5,
1643,0.9,1.3,0.9,
1643,0.9,1.3,0.9,
1586,0.9,1.3,1.3,
1604,0.9,1.3,1.6999999,
1599,0.9,1.6999999,0.1,
1632,0.9,1.6999999,0.5,
1645,0.9,1.6999999,0.9,
1611,0.9,1.6999999,1.3,
1613,0.9,1.6999999,1.6999999
Best parameters: w: 0.7, c1: 1.6999999, c2: 0.5, makespan: 1496